Entries,Class,,,,,,,,,,,,,,,,,,,,
aldigim ayakkabiyi ayni gün kargolayarak beni utandiran firma uzun zaman olmustu buradan alisveris yapmayali sasirdim ,5,,,,,,,,,,,,,,,,,,,,
sürekli alisveris yaptigimdan tüm kargo firmalarinin çalisanlarinin beni tanimasina sebep olan site. o gün birisi lab.a geldi hiç sormadan buyrun meriç hanim diyerek kargomu verdi sag olsun 6 yildir alisveris yapiyorum kredi kartim da sitede kayitli ve bu güne kadar herhangi bir sekilde iade kredi karti veya ürünlerle ilgili hiçbir sorunla karsilasmadim hatta bir ürünü tedarik edemediler diye özür olsun diye siparis üzerinde indirim yapip üstüne bir de hediye kuponu vermislerdi müsteri hizmetleri de çok ilgili telefon veya email araciligiyla ulastiginizda sorununuza hemen çözüm buluyorlar ,5,,,,,,,,,,,,,,,,,,,,
bu zamana kadar 2 casio ve 1 fossil marka saat aldim hepsi de iyiydi özel kutusunda garanti belgeli vs geldi bir tane de babama parfüm aldim babalar gününde vermek için ama pek incelemedim dogrusu insallah sahte degildir tanim alisveris sitesi ,5,,,,,,,,,,,,,,,,,,,,
karisik duygular besliyorum su ana kadar alisverislerde sorun yasamadim elite üyeligim oldugu için kargo ödemiyorum kolay iade ve iptal yapabiliyorum ama bu illete bulastigimdan beri magazaya gidip alisveris yapmak çok zor geliyor sikis tepis ürünlerin arasindan hiç bisi bulamiyorum çok çabuk sikilip çikiyorum ikinci kötü yani bunun uygulamasini telefona indirdikten sonra basliyor sürekli kendimi bu uygulamanin içinde gezinirken buluyorum bazen maasin yarisini sana biraksam da galiba seni seviyorum tatlim ,5,,,,,,,,,,,,,,,,,,,,
alibaba ile yaptiklari yatirim anlasmasi ile amazon ve hepsiburadaya gözdagi vermis eticaret sitesi demet hanim cosmus ,5,,,,,,,,,,,,,,,,,,,,
7 yildir sürekli olarak alisveris yaptigim hatta son 5 veya 6 aydir elite müsteri kategorisine geçerek artik 10 liralik bir sey aldigimda bile kargo ücreti ödemedigim bugüne dek beni hiç üzmeyen hiç bir alisverisimde magdur etmeyen iade islemlerimi maksimum 48 saat içerisinde sonuçlandirarak parami kartima iade eden bana göre eticaret sektörünün türkiye deki hiç tartismasiz 1 numarasi en azindan benim için öyledir ,5,,,,,,,,,,,,,,,,,,,,
Ilk kez alisveris yaptim. üründe bir ariza olustu aradim hemen açtilar derdimi anlattim anladilar ücretsiz kargo gönderi kodu verdiler çok saskinim sözlük kendimi tüketici haklari olan bir ülkede gibi hissettim hadi hep böyle gitsin ins ,5,,,,,,,,,,,,,,,,,,,,
çilginlar gibi alis veris yaptigim site keske her seyi trendyol satsa reklam yapmiyorum yani para alarak yapmiyorum benim ki amme hizmeti ,5,,,,,,,,,,,,,,,,,,,,
online alisveris bagimlisi biri olarak eticaret siteleri içerisinde tek sorun yasamadigim platform oldugunu söyleyebilirim en son dün 15 civari siparis ettigim ürün bu sabah 11 de elime ulasti umarim alibaba ya satilmasi daha da iyi sonuçlar yaratir ,5,,,,,,,,,,,,,,,,,,,,
en sevdigim alisveris sitelerinden biridir ara sira kupon gönderirler sizi çok özledik hadi alisveris yapin diye ,5,,,,,,,,,,,,,,,,,,,,
bu baslik altinda neden yerden yere vuruldugunu anlayamadigim son bir yilda 200e yakin alisveris yaptigim online alisveris sitesi her kategoriden alisveris yapmakla birlikte çogunlukla markali spor ürünler bkz adidas bkz mizuno bkz dockers bkz reebok bkz nike almis biri olarak piyasaya nispeten oldukça uygun fiyatli ve kalite bakimindan sorunsuz buluyorum keza yirmiye yakin iademde de hiç bir sikinti yasamadim bana göre tek zarari tüketim duygusunu kamçilayip insani bir çesit alisveris junkiesi yapmasi ,5,,,,,,,,,,,,,,,,,,,,
kim ne derse desin trendyol en iyisidir su zamana kadar hiç bir sikinti yasamadim ,5,,,,,,,,,,,,,,,,,,,,
gece 12 de verilen siparisi öglen 12ye teslim eden firma isler o kadar mi kesat yoksa jet imamdan danismanlik mi aldiniz gençler hll spr dvm ,5,,,,,,,,,,,,,,,,,,,,
ilk defa alisveris yaptim kendilerinden sabah 8:30 da verdigim siparisi ayni gün 17:00 da teslim etmisler kardesim napiyosunuz siz ya biz böyle seylere alisik degiliz millet olarak bizim düzenimizi bozmayin bak siparis verecegiz 3-4 gün temin edilecek 2 gün kargo bekleyecek 3 veya 4 gün de dagitimda kalacak yazin giyecegimiz sortu nisan ayinda aliyoruz biz yillardir siz ayni gün ürün teslim ederek koskoca bir ülkenin aliskanliklarini degistiremezsiniz kendinize gelin ek olm manyak misiniz ne reklami basimdan geçeni yazdim yoksa sikmisim trendyolu ,5,,,,,,,,,,,,,,,,,,,,
dolarin yukselisini firsat bilerek zam gelmemis luks urunlerine abandim arap turist misali outlet fiyati 200 dolar olan cantalari 120 dolara falan alarak kendi capimda vurgun yaptim urun orjinal toz torbali sertifikali falan geldi canim trendyol ,5,,,,,,,,,,,,,,,,,,,,
an itibariyle ilk alisverisimi yapmis bulunmaktayim 2 gun once lacoste keten gomlek siparis verdim 194 tlye kargoyla 200 tlye geldi gomlegin aynisi bende oldugu icin rahat bi sekilde ayni bedeni secip aldim urun elime geldi etiket yoktu ama sorun etmedim kokladigimda daha yeni kokuyordu kimse giymemis belliki urunu alan birisi etiketi kesip olmayinca iade etmis anlasilan neyse kisa gunun kari 500 tlye olan gomlegi 200 tlye kaptik hizli bir alisveris sitesidir ,5,,,,,,,,,,,,,,,,,,,,
dün aksam ilk alisverisimi yapip sasirtici bir biçimde de memnun kaldigim sitedir gece verdigim siparis aksam üzeri elime sorunsuz bir biçimde ulasti üründen de fazlasiyla memnun kaldim ,5,,,,,,,,,,,,,,,,,,,,
yillardir kargo ücreti gibi bir saçmaligi olan alisveris seysi yani ne gerek var sepete onlarca ürün ekledim baktim asagi da kargo ücreti yaziyor bkz morhipo dan alirdim önceden olabilecek her bedeni dener geri yollardim mis gibi kargo da ücretsizdi bu arada trendyol man ürünleri ise hakikaten güzele benziyor kim yaptiysa eline saglik tam istedigim gibi ,5,,,,,,,,,,,,,,,,,,,,
dün gece 01:00de verdigim siparis bugün 14:30 sularinda tarafima teslim edildi pes dedim daha önce benzer bir seyi hepsiburada kendi ekiplerince teslimat seklinde yapmisti internet alisverisine yenilik getirmek konusunda iyi yolda görüyorum ben bu siteyi ancak artik kendi markalari olan trendyolmillayi parlatmaktan vazgeçmeliler daha kaliteli ürünler görmek isteriz ,5,,,,,,,,,,,,,,,,,,,,
avmye gitmeyi biraktiran adam gibi internet alisveris sitesi ,5,,,,,,,,,,,,,,,,,,,,
7 veya 8 yildir sürekli alisveris yaptigim ve son 1 yildir da elite oldugum site elite oldugumdan beri kargo parasi da ortadan kalktigi için neredeyse ihtiyacim olan herseyi buradan almaya basladim dis macunundan tut sampuana saç jölesine kadar bugüne dek 100e yakin alisveris yapmisimdir rahat ve bu alisverislerde hiçbir magduriyet yasamadim sadece 1 kere yanlis bir bot gönderildi tarafima o da hotiçin sisteme kod numarasini hatali girmesinden kaynaklanmis onun disinda hiçbir sikintim olmadi ki iade konusunda da çok çok iyiler bence ürünü geri kargoladiktan sonra maksimum 48 saat içinde ücretini karta iade ediyorlar hiç telefonla aramaniza falan gerek yok en azindan ben bu konuda hiç sorun yasamadim su ana kadar kisacasi benim için alisveris konusunda önemli bir alternatiftir ve umarim bir zamanlar rakibi olan markafoni limango vipdükkan ve son olarak 1v1ynin yasadigi seyi yasamaz kapanirsa cidden üzülürüm çünkü ,5,,,,,,,,,,,,,,,,,,,,
pahaliysa kandiriyorlarsa almayin arkadasim gidin aksama kadar disarida gezin tüm magazalari fiyatlara bakin begendiginiz ucuz olan neyse alin o zaman he ölmeyin de yorgunluktan ayrica elit hesap oldun mu tadindan da yenmiyor ,5,,,,,,,,,,,,,,,,,,,,
vallahi herkes siteye gelisine giydirmis ama ben size katilmiyorum bugün iki adet çok tarz mavi jeans markali kotu toplam 80 liraya aldim bakin 14 dolar falan ediyor daha ne yapsin adamlar sizin için bedava mi versinler ,5,,,,,,,,,,,,,,,,,,,,
bu sene sezon sonunda 2 al 1 öde kampanyasi ile 1 çift deri bot ve 1 çift de deri çizmeye toplam 200 tl verdigim site simdi fiyatlara baktim ayni bot 270 ayni çizme 270 toplam 540 tl ,5,,,,,,,,,,,,,,,,,,,,
bol keseden atiyor herkes.simdi savunuyor olucam fakat olsun. https://m.camper.com/…per-pelotas_xlite-k100397-009 bu camper ayakkabi kendi sitesinde 719 lira https://ty.gl/nizlqmk2k bu da trendyol fiyati 431 lira he normalde trendyolda bir indirim varsa ayni oranda markanin kendisi de zaten magazalarinda ayni indirimi yapiyor oluyor çok denk geldim bu 9-10-11 kasim mevzusunda gözle görülen bir indirim var ben söyleyeyim ,5,,,,,,,,,,,,,,,,,,,,
valla jbl go 2219 tl bence iyi fiyat ,5,,,,,,,,,,,,,,,,,,,,
indirimin ilk günü olan dün sabah saat 06:52de hummel mont aldi 113 liraya dün ögleden sonra 16:00 gibi elime geçti bu ne hiz dedirtmistir ,5,,,,,,,,,,,,,,,,,,,,
iki yil öncesine kadar kampanyalar yapan bir siteyken son zamanlarda bildigin avm moduna geçmisti fiyatlar hemen hemen yil boyu belli standartlarda dolasiyor kampanya dediklerinde de aslinda bir kampanya olmuyor bunlar dogru ama adamlar zaten piyasadan biraz daha ucuza veriyor iade konularinda simdiye kadar en ufak bir sikinti yasamadim ürünlerin orjinalligi ile ilgili bir kaygim olmadi simdiye kadar sonuç olarak ürünü bul fiyatini arastir kafana yatiyorsa gönül rahatligiyla al burda kilit kelime gönül rahatligi ipsiz sapsiz insanlarla ugrasma 11 kasim için ise 200 butikten bi 10 kadarinda çok iyi fiyatlar vardi gerçekten çok uygun seyler sattilar hele ki ilk gece cacharel saatleri 79dan sattilar ki inanilmaz yarim saatte bitti zaten yüzlerce saat her halükarda en favori alisveris sitesidir gözümde ,5,,,,,,,,,,,,,,,,,,,,
ben en son burdan 120 liralik madame coco alisverisi yaptim madame coco iptal etti ben de aradim dedim ne hakla iptal ederler pahaliyken alinca gönderiyor o zaman indirim yapmasin ayni ürün sitelerinde iki kat pahaliydi kaç kisiye aynisini yapmislardir dedim özür dileyip 120 lira alt limitsiz hediye çeki verdiler müsteri hizmetleri çok iyi bikaç sene öncesine göre çok planli ve titizler deterjan sivi sabun kozmetik vb burda daha ucuz sepete atmadan migrosa bakin anlarsiniz iyi ki varsin seviliyorsun ,5,,,,,,,,,,,,,,,,,,,,
